User ID,Age,Nationality,Residence,Cuisine Preference,Recipe Selection
1,26,Italian,Canada,Italian,"Lasagna, Pizza"
2,26,Italian,Canada,Italian,Spaghetti Carbonara
3,26,Italian,Canada,Italian,Tiramisù
4,26,Italian,Canada,Italian,Risotto
5,26,Italian,Canada,Italian,Panna Cotta
6,26,Italian,Canada,Italian,Gnocchi
7,26,Italian,Canada,Italian,Ravioli
8,26,Italian,Canada,Italian,Osso Buco
9,26,Italian,Canada,Italian,Minestrone Soup
10,26,Italian,Canada,Italian,Cannoli
11,26,Italian,Canada,Italian,Caprese Salad
12,26,Italian,Canada,Italian,Biscotti
13,26,Italian,Canada,Italian,Focaccia
14,26,Italian,Canada,Italian,Ossobuco
15,26,Italian,Canada,Italian,Eggplant Parmigiana